yahoo_ticker,sector,industry,quote_type,sector_source
RIMM,,,MUTUALFUND,no_sector_in_info
RIO,Basic Materials,Other Industrial Metals & Mining,EQUITY,yfinance_info
RKT,Financial Services,Mortgage Finance,EQUITY,yfinance_info
RMD,Healthcare,Medical Instruments & Supplies,EQUITY,yfinance_info
ROG,Technology,Electronic Components,EQUITY,yfinance_info
ROK,Industrials,Specialty Industrial Machinery,EQUITY,yfinance_info
ROP,Technology,Software - Application,EQUITY,yfinance_info
ROST,Consumer Cyclical,Apparel Retail,EQUITY,yfinance_info
RP,,,NONE,no_sector_in_info
RPM,Basic Materials,Specialty Chemicals,EQUITY,yfinance_info
RPRX,Healthcare,Biotechnology,EQUITY,yfinance_info
RRC,Energy,Oil & Gas E&P,EQUITY,yfinance_info
RS,Basic Materials,Steel,EQUITY,yfinance_info
RSG,Industrials,Waste Management,EQUITY,yfinance_info
RT,,,MUTUALFUND,no_sector_in_info
RTN,,,NONE,no_sector_in_info
RTP,,,NONE,no_sector_in_info
RTX,Industrials,Aerospace & Defense,EQUITY,yfinance_info
RWT,Real Estate,REIT - Mortgage,EQUITY,yfinance_info
RY,Financial Services,Banks - Diversified,EQUITY,yfinance_info
S,Technology,Software - Infrastructure,EQUITY,yfinance_info
SAFC,,,MUTUALFUND,no_sector_in_info
SAI,,,NONE,no_sector_in_info
SAP,Technology,Software - Application,EQUITY,yfinance_info
SAPG,,,,no_sector_in_info
SAVE,,,NONE,no_sector_in_info
SBC,Industrials,Consulting Services,EQUITY,yfinance_info
SBGSY,Industrials,Specialty Industrial Machinery,EQUITY,yfinance_info
SBNY,Financial Services,Banks - Regional,EQUITY,yfinance_info
SBUX,Consumer Cyclical,Restaurants,EQUITY,yfinance_info
SCCO,Basic Materials,Copper,EQUITY,yfinance_info
SCHN,,,NONE,no_sector_in_info
SCHW,Financial Services,Capital Markets,EQUITY,yfinance_info
SCMN,,,,no_sector_in_info
SD,Energy,Oil & Gas E&P,EQUITY,yfinance_info
SE,Consumer Cyclical,Internet Retail,EQUITY,yfinance_info
SEE,,,,no_sector_in_info
SEIC,Financial Services,Asset Management,EQUITY,yfinance_info
SEK,,,ECNQUOTE,no_sector_in_info
SEM,Healthcare,Medical Care Facilities,EQUITY,yfinance_info
SEPR,,,MUTUALFUND,no_sector_in_info
SF,Financial Services,Capital Markets,EQUITY,yfinance_info
SGEF,,,,no_sector_in_info
SGP,Healthcare,Biotechnology,EQUITY,yfinance_info
SHEL,Energy,Oil & Gas Integrated,EQUITY,yfinance_info
SHOP,Technology,Software - Application,EQUITY,yfinance_info
SHPG,,,MUTUALFUND,no_sector_in_info
SHPGY,,,MUTUALFUND,no_sector_in_info
SHW,Basic Materials,Specialty Chemicals,EQUITY,yfinance_info
SI,,,EQUITY,no_sector_in_info
SIAL,,,MUTUALFUND,no_sector_in_info
SID,Basic Materials,Steel,EQUITY,yfinance_info
SIEGN,,,,no_sector_in_info
SIG,Consumer Cyclical,Luxury Goods,EQUITY,yfinance_info
SII,Financial Services,Asset Management,EQUITY,yfinance_info
SIVB,,,NONE,no_sector_in_info
SJM,Consumer Defensive,Packaged Foods,EQUITY,yfinance_info
SKM,Communication Services,Telecom Services,EQUITY,yfinance_info
SLB,Energy,Oil & Gas Equipment & Services,EQUITY,yfinance_info
SLG,Real Estate,REIT - Office,EQUITY,yfinance_info
SLXP,,,MUTUALFUND,no_sector_in_info
SMCI,Technology,Computer Hardware,EQUITY,yfinance_info
SMS,,,MUTUALFUND,no_sector_in_info
SN,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,yfinance_info
SNA,Industrials,Tools & Accessories,EQUITY,yfinance_info
SNBR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",EQUITY,yfinance_info
SNDK,Technology,Computer Hardware,EQUITY,yfinance_info
SNOW,Technology,Software - Application,EQUITY,yfinance_info
SNP,,,NONE,no_sector_in_info
SNPS,Technology,Software - Infrastructure,EQUITY,yfinance_info
SNY,Healthcare,Drug Manufacturers - General,EQUITY,yfinance_info
SO,Utilities,Utilities - Regulated Electric,EQUITY,yfinance_info
SOLN,,,NONE,no_sector_in_info
SOTR,,,MUTUALFUND,no_sector_in_info
SPG,Real Estate,REIT - Retail,EQUITY,yfinance_info
SPGI,Financial Services,Financial Data & Stock Exchanges,EQUITY,yfinance_info
SPLS,,,ETF,no_sector_in_info
SPOT,Communication Services,Internet Content & Information,EQUITY,yfinance_info
SQ,,,NONE,no_sector_in_info
SRCL,,,,no_sector_in_info
SRE,Utilities,Utilities - Diversified,EQUITY,yfinance_info
SRZ,,,MUTUALFUND,no_sector_in_info
SSCC,Technology,Information Technology Services,EQUITY,yfinance_info
SSE,,,MUTUALFUND,no_sector_in_info
SSFT,,,NONE,no_sector_in_info
SSL,Basic Materials,Specialty Chemicals,EQUITY,yfinance_info
SSNHY,,,MUTUALFUND,no_sector_in_info
SSP,Communication Services,Broadcasting,EQUITY,yfinance_info
STA,,,MUTUALFUND,no_sector_in_info
STE,Healthcare,Medical Devices,EQUITY,yfinance_info
STI,Industrials,Electrical Equipment & Parts,EQUITY,yfinance_info
STJ,,,MUTUALFUND,no_sector_in_info
STLA,Consumer Cyclical,Auto Manufacturers,EQUITY,yfinance_info
STLD,Basic Materials,Steel,EQUITY,yfinance_info
STMP,,,NONE,no_sector_in_info
STR,,,,no_sector_in_info
STRA,Consumer Defensive,Education & Training Services,EQUITY,yfinance_info
STT,Financial Services,Asset Management,EQUITY,yfinance_info
